                    飞机时刻表
  航班号    起点站   终点站    起飞时间    到达时间   票价
  TN1999    大同     南京     07：00     08：30    280
  TB0611    大同     北京     08：30     09：30    200
  NS1220    南京     深圳     15：00     19：15    540
  NB1111    南京     北京     08：50     09：30    210
  BS0313    北京     上海     10：00     1：00    170
  GT0222    广州     大同     08：00     14：00    600
  MU2477    武汉     深圳     07：55     09：50    460
  CU2233    长沙     武汉     09：34     10：20    500
  SW1202    上海     武汉     12：00     15：00    350
  SS0602    上海     深圳     16：30     20：00    370
